date	close
9:51:38	267202979
9:52:09	267204655
9:52:38	267206641
9:53:11	267208093
9:53:39	267210200
9:54:08	267211974
9:54:39	267213991
9:55:08	267215402
9:55:38	267217270
9:56:09	267219299
9:56:38	267221604
9:57:09	267224048
9:57:38	267226245
9:58:09	267227803
9:58:38	267229630
9:59:08	267232012
9:59:38	267233355
10:00:09	267235594
10:00:38	267237535
10:01:08	267239447
10:01:38	267241825
10:02:08	267243695
10:02:38	267245126
10:03:08	267246781
10:03:39	267248713
10:04:08	267250635
10:04:39	267253113
10:05:08	267255274
10:05:39	267257401
10:06:09	267259732
10:06:39	267261185
10:07:09	267263582
10:07:38	267265956
10:08:09	267268236
10:08:38	267270059
10:09:09	267272146
10:09:39	267273875
10:10:08	267276388
10:10:38	267279363
10:11:09	267281557
10:11:38	267284208
10:12:09	267286018
10:12:38	267288388
10:13:09	267289909
10:13:39	267291883
10:14:09	267294582
10:14:38	267296384
10:15:09	267298431
10:15:39	267300497
10:16:09	267302218
10:16:38	267303964
10:17:09	267306341
10:17:39	267309562
10:18:09	267312590
10:18:39	267314416
10:19:13	267316779
10:19:39	267319074
10:20:08	267320887
10:20:39	267322959
10:21:08	267325191
10:21:38	267327604
10:22:09	267329758
10:22:39	267331936
10:23:09	267334399
10:23:38	267336950
10:24:08	267339128
10:24:39	267340996
10:25:10	267342956
10:25:39	267345382
10:26:09	267346893
10:26:39	267349027
10:27:09	267350781
10:27:38	267352819
10:28:08	267354696
10:28:39	267356176
10:29:09	267358435
10:29:39	267361581
10:30:09	267364777
10:30:39	267367606
10:31:08	267370074
10:31:39	267372128
10:32:08	267375001
10:32:39	267377824
10:33:08	267379908
10:33:39	267382247
10:34:08	267384749
10:34:39	267386995
10:35:09	267389540
10:35:39	267391749
10:36:08	267393546
10:36:39	267395414
10:37:09	267398139
10:37:39	267400539
10:38:09	267402943
10:38:38	267405103
10:39:09	267407100
10:39:39	267408520
10:40:09	267410598
10:40:39	267412707
10:41:09	267415573
