date	close
9:51:38	185381060
9:52:09	185381111
9:52:38	185381166
9:53:11	185381190
9:53:39	185381240
9:54:08	185381323
9:54:39	185381349
9:55:08	185381394
9:55:38	185381452
9:56:09	185381479
9:56:38	185381509
9:57:09	185381531
9:57:38	185381564
9:58:09	185381625
9:58:38	185381672
9:59:08	185381708
9:59:38	185381741
10:00:09	185382073
10:00:38	185382167
10:01:08	185382237
10:01:38	185382281
10:02:08	185382307
10:02:38	185382326
10:03:08	185382380
10:03:39	185382396
10:04:08	185382471
10:04:39	185382528
10:05:08	185382931
10:05:39	185383090
10:06:09	185383145
10:06:39	185383176
10:07:09	185383218
10:07:38	185383250
10:08:09	185383270
10:08:38	185383279
10:09:09	185383294
10:09:39	185383317
10:10:08	185383716
10:10:38	185384021
10:11:09	185384088
10:11:38	185384142
10:12:09	185384177
10:12:38	185384229
10:13:09	185384255
10:13:39	185384262
10:14:09	185384344
10:14:38	185384400
10:15:09	185384448
10:15:39	185384533
10:16:09	185384567
10:16:38	185384594
10:17:09	185384632
10:17:39	185384674
10:18:09	185384698
10:18:39	185384734
10:19:13	185384764
10:19:39	185384805
10:20:08	185384911
10:20:39	185384945
10:21:08	185385046
10:21:38	185385074
10:22:09	185385158
10:22:39	185385225
10:23:09	185385281
10:23:38	185385345
10:24:08	185385400
10:24:39	185385425
10:25:10	185385463
10:25:39	185385503
10:26:09	185385572
10:26:39	185385627
10:27:09	185385660
10:27:38	185385687
10:28:08	185385702
10:28:39	185385713
10:29:09	185385738
10:29:39	185385780
10:30:09	185386201
10:30:39	185386266
10:31:08	185386312
10:31:39	185386334
10:32:08	185386370
10:32:39	185386464
10:33:08	185386486
10:33:39	185386518
10:34:08	185386575
10:34:39	185386697
10:35:09	185386835
10:35:39	185386881
10:36:08	185386917
10:36:39	185386967
10:37:09	185387021
10:37:39	185387072
10:38:09	185387128
10:38:38	185387180
10:39:09	185387241
10:39:39	185387256
10:40:09	185387328
10:40:39	185387347
10:41:09	185387498
