date	close
11:44:09	185667920
11:44:38	185668013
11:45:09	185668092
11:45:39	185668155
11:46:09	185668213
11:46:38	185668281
11:47:09	185668377
11:47:39	185668408
11:48:09	185668443
11:48:39	185668504
11:49:08	185668523
11:49:39	185668587
11:50:08	185668623
11:50:39	185668661
11:51:09	185668739
11:51:39	185668802
11:52:08	185668846
11:52:39	185668880
11:53:08	185668894
11:53:39	185668937
11:54:09	185668991
11:54:39	185669042
11:55:09	185669110
11:55:39	185669181
11:56:08	185669230
11:56:39	185669248
11:57:09	185669282
11:57:39	185669313
11:58:09	185669380
11:58:39	185669426
11:59:09	185669468
11:59:39	185669549
12:00:08	185669813
12:00:39	185669853
12:01:09	185669909
12:01:39	185669937
12:02:09	185669990
12:02:39	185670045
12:03:09	185670117
12:03:38	185670150
12:04:09	185670161
12:04:38	185670223
12:05:09	185670324
12:05:39	185670360
12:06:09	185670400
12:06:39	185670444
12:07:08	185670514
12:07:39	185670567
12:08:09	185670594
12:08:39	185670629
12:09:09	185670643
12:09:39	185670685
12:10:09	185670750
12:10:39	185670780
12:11:19	185670888
12:11:20	185670888
12:11:49	185670953
12:11:50	185670953
12:12:19	185671039
12:12:19	185671039
12:12:49	185671063
12:12:49	185671063
12:13:19	185671096
12:13:19	185671096
12:13:49	185671176
12:13:49	185671176
12:14:19	185671204
12:14:19	185671204
12:14:49	185671250
12:14:49	185671250
12:15:20	185671355
12:15:20	185671355
12:15:49	185671384
12:15:51	185671384
12:15:51	185671384
12:16:19	185671442
12:16:20	185671442
12:16:20	185671442
12:16:50	185671508
12:16:51	185671508
12:16:51	185671508
12:17:20	185671577
12:17:20	185671577
12:17:20	185671577
12:17:49	185671706
12:17:50	185671706
12:17:50	185671706
12:18:19	185671735
12:18:20	185671735
12:18:20	185671735
12:18:50	185671757
12:18:50	185671757
12:18:50	185671757
12:19:20	185671874
12:19:21	185671874
12:19:21	185671874
12:21:39	185672219
12:22:09	185672279
12:22:39	185672310
12:23:09	185672387
